AMD,SYK,SMCI,AAPL,MSFT,IBM,HPE,GOOG,AVGO
0.844427823,0.471212721,0.502908726,0.688707774,0.681151463,0.412480428,0.822942098,0.735407422,0.831586158
0.853403141,0.443854616,0.519069034,0.70104768,0.684472886,0.424649133,0.826906853,0.715385348,0.835183962
0.863126402,0.476929299,0.509372914,0.734807967,0.709106128,0.42917322,0.832853986,0.752280749,0.872774765
0.88855647,0.471621051,0.480284424,0.726426105,0.712980997,0.442121754,0.859615828,0.760085115,0.855964349
0.881077038,0.47039602,0.40271488,0.718859063,0.696650966,0.439001676,0.855651073,0.839850495,0.848086401
0.906507105,0.473254411,0.431803499,0.697671731,0.701909837,0.45600631,0.872501282,0.819882131,0.84858266
0.919222139,0.483462659,0.522301161,0.698486539,0.713811304,0.465054703,0.861598206,0.807045511,0.850567599
0.967090501,0.500612434,0.483516421,0.706402813,0.703847285,0.463026544,0.838800991,0.814419206,0.856584602
0.918474196,0.498162495,0.483516421,0.695459834,0.688347755,0.563962599,0.787259557,0.799644881,0.834749795
0.922213912,0.499387485,0.477052298,0.689406237,0.689731508,0.548517902,0.79518894,0.767404933,0.823212043
0.901271503,0.484279237,0.509372914,0.683352629,0.673955172,0.567706826,0.791224185,0.774321177,0.831089898
0.895287958,0.487137546,0.477052298,0.668568126,0.646000506,0.558190446,0.781312424,0.75055838,0.812604722
0.876589379,0.481829298,0.431803499,0.644936009,0.628840389,0.559282364,0.751576888,0.741597008,0.807083973
0.871353777,0.482645958,0.360698079,0.642491237,0.596733994,0.551326124,0.7505857,0.704620794,0.772780894
0.895287958,0.482237628,0.344537771,0.637019747,0.596457354,0.554914205,0.746621072,0.701149121,0.778239644
0.904263276,0.478562659,0.351001959,0.62677522,0.582064771,0.547425968,0.733735618,0.673672704,0.764902946
0.875093493,0.478154329,0.318681342,0.609895163,0.557431528,0.53837759,0.720850291,0.64164809,0.736492784
0.931937173,0.493262577,0.344537771,0.625727525,0.571547278,0.558814361,0.76644472,0.655157658,0.715216236
0.902019447,0.489995938,0.351001959,0.61885912,0.54636034,0.588611616,0.739682751,0.620145922,0.703740483
0.896035901,0.473662659,0.36393014,0.624912717,0.567395548,0.561310524,0.73175324,0.647137953,0.724148697
