INTC,ORCL,MSI,MSFT,IBM,HON,CSCO,AMD,AAPL
0.413665276,0.520044572,0.702045568,0.47882657,0.851794069,0.502263746,0.789395102,0.855646971,0.620721798
0.413665276,0.537305264,0.691076253,0.4741212,0.858502463,0.496754491,0.783420346,0.922961855,0.624912717
0.423728942,0.542873081,0.711532671,0.47882657,0.884087471,0.509679951,0.814040207,0.922213912,0.633643799
0.426906802,0.543986723,0.720723451,0.47384456,0.883775396,0.512858385,0.826736396,0.958115183,0.621187374
0.420550923,0.543986723,0.761933027,0.482424632,0.878159156,0.524300617,0.843166342,0.951383695,0.620721798
0.415783973,0.547884218,0.721909369,0.478272902,0.873791012,0.535742848,0.83868561,0.913986537,0.623864859
0.39883482,0.538975531,0.699970264,0.471630278,0.875039078,0.533412006,0.83868561,0.88855647,0.626076756
0.389300921,0.548440955,0.696116217,0.466648268,0.883931324,0.532988136,0.859596586,0.887060583,0.622351588
0.390889798,0.556792904,0.696116217,0.461389397,0.872387003,0.51646052,0.857356257,0.887808527,0.5883586
0.379766969,0.54621395,0.686332582,0.458068196,0.873323009,0.522181562,0.86407769,0.887808527,0.585564584
0.367584818,0.562917682,0.688407886,0.455023634,0.888767705,0.53807352,0.855115556,0.894540015,0.588824176
0.37341109,0.554008995,0.683960747,0.459451977,0.888143555,0.537649798,0.865571043,0.917726253,0.594644897
0.378707647,0.556792904,0.689000949,0.436756155,0.874103087,0.541040168,0.849141098,0.896783844,0.576251395
0.361228939,0.578507827,0.705010465,0.456684221,0.902496098,0.558839077,0.879013984,0.940164547,0.595110659
0.381885666,0.602449922,0.717462229,0.455023634,0.90171602,0.572824085,0.875279929,0.87210172,0.577997716
0.37341109,0.606347473,0.730210554,0.448657622,0.926521185,0.555872599,0.875279929,0.884068811,0.586146691
0.366525443,0.457126919,0.732878684,0.451702212,0.904212183,0.568798059,0.876026904,0.908750935,0.583469217
0.364406746,0.442650414,0.67714204,0.44229186,0.902808173,0.542099526,0.86706477,0.917726253,0.566356274
0.36864414,0.430957819,0.62644536,0.450595071,0.914352729,0.563712674,0.865571043,0.93118923,0.568800883
0.367584818,0.436525637,0.639786481,0.456684221,0.935725506,0.570281308,0.877520257,0.903515333,0.56810242
0.407309397,0.423162551,0.618144174,0.451148738,0.92558496,0.552270443,0.863330715,0.86013463,0.562747287
0.402542447,0.432628142,0.583456774,0.458344836,0.960998439,0.560746027,0.859596586,0.851907255,0.56647263
0.391949173,0.432071182,0.567447495,0.442015026,0.975507145,0.553753692,0.873039526,0.839192221,0.572526226
0.401483072,0.430400915,0.576638037,0.438416769,0.976911138,0.549939622,0.872292551,0.838444278,0.570430674
