AMZN,ANSS,WMT,GOOG,FB,EPAM,BLKB,BABA,AAPL
0.78588866,0.675903591,0.629284216,0.860007094,0.878368616,0.719486085,0.780630135,0.937627041,0.764377149
0.804401533,0.645907788,0.619139029,0.863828465,0.880654492,0.720128462,0.758265257,0.970142308,0.770779977
0.800143455,0.632195474,0.57526719,0.819020947,0.866818965,0.704925056,0.749902752,0.957870875,0.763212935
0.79495432,0.631195631,0.476555978,0.830862021,0.87776704,0.701927219,0.737650768,0.949820234,0.762514472
0.791886635,0.630481405,0.434603717,0.835948312,0.874518676,0.710492551,0.735122471,0.927231528,0.756228175
0.78283625,0.618768792,0.445845943,0.811916466,0.862608294,0.703426127,0.72578766,0.924808532,0.757275858
0.770931871,0.608913127,0.437071389,0.762722379,0.828681358,0.695503321,0.734733576,0.923401685,0.735040668
0.776716154,0.610341481,0.4406361,0.779165194,0.847208896,0.692291308,0.728704832,0.92222919,0.74668211
0.774564246,0.597914641,0.419522747,0.767001362,0.841313733,0.665952891,0.710618483,0.883539201,0.738882367
0.761240415,0.582916839,0.411022665,0.782717516,0.858156778,0.662312676,0.716258332,0.876504701,0.742491179
0.737736915,0.567204711,0.433232645,0.756855717,0.832410882,0.608137127,0.703617316,0.857198759,0.732712415
0.724993049,0.557349047,0.442555486,0.743373087,0.819778507,0.608993658,0.69486576,0.863060883,0.74377175
0.728182857,0.553492398,0.44529741,0.690546028,0.778031805,0.589721687,0.636911732,0.832030703,0.731082613
0.73147942,0.554492255,0.438716741,0.680077462,0.761910391,0.581156333,0.631271884,0.852118182,0.700931324
0.723924779,0.57320394,0.449136182,0.700422624,0.854186591,0.580085605,0.66122134,0.918946409,0.71653081
0.715484822,0.555634978,0.462297766,0.71097184,0.861044242,0.570663891,0.623103894,0.913084286,0.733992973
0.696758259,0.586630523,0.475733412,0.708630564,0.873796852,0.567023655,0.634189076,0.917461322,0.765192132
0.698574446,0.593058234,0.463394586,0.682338091,0.878007704,0.562526738,0.637884039,0.934031669,0.79615824
0.72194064,0.5952007,0.462023514,0.664011444,0.847810292,0.582441087,0.63827307,0.933328128,0.795459777
0.736515969,0.569918652,0.472442954,0.678247507,0.867420541,0.531049349,0.634967003,0.907691117,0.809546004
0.74958028,0.674617903,0.453249179,0.691218812,0.859239695,0.556959393,0.653831122,0.910817653,0.790919626
0.744467437,0.70832739,0.458184769,0.718076486,0.884384015,0.605781645,0.647413502,0.925433841,0.806868344
0.75107593,0.715469227,0.45132982,0.709949194,0.883301292,0.655460449,0.669000454,0.896826657,0.820954571
0.770306075,0.684045185,0.436797356,0.701902718,0.889918086,0.592719524,0.677751854,0.887056452,0.828405082
0.778578172,0.664476608,0.431313259,0.694959535,0.859119266,0.589721687,0.660637929,0.847506677,0.794994201
0.789856756,0.664762353,0.465313971,0.720390825,0.886308991,0.596145563,0.650136179,0.859074569,0.825611078
