NVDA,MSFT,IBM,HPE,GOOG,FLEX,TSLA,SNE,ORCL
0.760266059,0.728757361,0.421372908,0.793023222,0.701902718,0.781464531,0.911697684,0.738331395,0.982739587
0.756285366,0.70716868,0.383775341,0.76363763,0.694959535,0.739130549,0.827621905,0.722895968,0.932071433
0.753090305,0.717132506,0.390795576,0.780246877,0.720390825,0.727688902,0.857497971,0.704520371,0.940423215
0.725277619,0.69111551,0.405148353,0.846683868,0.698484921,0.733409611,0.832304311,0.700845325,0.900334014
0.740414849,0.696927827,0.392979647,0.881179998,0.700207287,0.751716247,0.853271439,0.700845325,0.895879783
0.736381725,0.706061539,0.409204437,0.915676127,0.724131547,0.767734668,0.877346348,0.715178254,0.878619147
0.736905536,0.729034001,0.392823735,0.877457099,0.729486886,0.736842105,0.8794182,0.711870646,0.86247232
0.760737524,0.707998987,0.385491426,0.869527588,0.703221349,0.734553776,0.868147322,0.696067633,0.832962129
0.755394946,0.681428297,0.394539803,0.863580456,0.680938645,0.702517162,0.844030934,0.675486892,0.813474489
0.735700786,0.675339146,0.384711348,0.850695129,0.660808984,0.691075515,0.836986717,0.669606738,0.801781893
0.730567767,0.675062312,0.403900272,0.86655415,0.666406598,0.673913043,0.846890102,0.670341761,0.801781893
0.731981992,0.67146425,0.391419725,0.86655415,0.680911871,0.688787185,0.867111396,0.658948855,0.798997762
0.725906133,0.672294557,0.378939179,0.842765746,0.696305104,0.663615561,0.866448387,0.681734668,0.792316302
0.733134313,0.684472886,0.361310411,0.838800991,0.69008858,0.672768879,0.819127362,0.678059475,0.802895256
0.736329374,0.656518221,0.350702096,0.80311845,0.641567278,0.652173913,0.80466575,0.670341761,0.782850934
0.719306537,0.665928573,0.340873625,0.790232996,0.65235877,0.651029748,0.844445329,0.680264584,0.767260566
0.701497983,0.663437679,0.356474249,0.802127261,0.653193014,0.684210526,0.862926339,0.688717358,0.763363016
0.713806835,0.698034968,0.384555419,0.831862797,0.696197518,0.715102975,0.908465604,0.703050287,0.802338575
0.713649707,0.686133473,0.37784726,0.846730502,0.683441385,0.684210526,0.906062185,0.685777189,0.778953384
0.732924759,0.696374132,0.381747416,0.829880292,0.68465243,0.687643021,0.912153434,0.69423011,0.780066747
0.742509936,0.666205406,0.374258945,0.802127261,0.66236989,0.670480549,0.8875813,0.688717358,0.746102603
0.749947596,0.636036681,0.374258945,0.784285863,0.643128184,0.677345538,0.877346348,0.684307252,0.738307279
0.684789483,0.665375099,0.373167026,0.835827425,0.685271502,0.701372998,0.911034679,0.726203575,0.791759565
