AAPL,TXN,QCOM,INTC,HON,GOOG,AVGO,DUK,CMS
0.790919626,0.678380559,0.292665089,0.416843295,0.816924339,0.709949194,0.811550203,0.792257479,0.786147427
0.806868344,0.664611591,0.280501358,0.399894142,0.823705056,0.701902718,0.815272094,0.850054493,0.874458777
0.820954571,0.64734887,0.246221922,0.369173748,0.793404536,0.694959535,0.792754855,0.819520299,0.836363709
0.828405082,0.660090403,0.273498077,0.387711991,0.783021684,0.720390825,0.807890406,0.795528854,0.819047603
0.794994201,0.661528956,0.276078247,0.399364375,0.771791388,0.698484921,0.825445161,0.776444989,0.794805264
0.825611078,0.657007748,0.260597154,0.360169564,0.770943647,0.700207287,0.823398129,0.799346085,0.816450287
0.83317812,0.671187834,0.335053483,0.363877191,0.794675851,0.724131547,0.846225455,0.781897444,0.815584313
0.835157142,0.676942026,0.343162625,0.362817869,0.808236967,0.729486886,0.842131484,0.79334821,0.825974184
0.858090795,0.666461097,0.337633653,0.353283917,0.8033632,0.703221349,0.804602774,0.792257479,0.8285715
0.857508688,0.640156145,0.326207261,0.344809393,0.794675851,0.680938645,0.777991471,0.804253174,0.843290289
0.84994182,0.634607501,0.326207261,0.340572211,0.778571787,0.660808984,0.787420192,0.799891014,0.833766393
0.844819562,0.639128689,0.334316292,0.341631321,0.777512577,0.666406598,0.801935396,0.789531415,0.822510894
0.82805585,0.644677333,0.351271804,0.343750018,0.771579283,0.680911871,0.860616666,0.764449294,0.808658079
0.809313128,0.637279038,0.341688243,0.341101766,0.76882491,0.696305104,0.872216505,0.770447115,0.829437474
0.802444712,0.634401952,0.346111317,0.340572211,0.779207444,0.69008858,0.861485092,0.752453981,0.801731498
0.810710043,0.616728278,0.33247335,0.354872847,0.75102598,0.641567278,0.826933841,0.754089696,0.803463186
0.80838179,0.61837238,0.330261703,0.359639797,0.737888415,0.65235877,0.825383068,0.743184295,0.79740258
0.778463376,0.622071537,0.343162625,0.368114373,0.756958956,0.653193014,0.810371604,0.715376546,0.765368032
0.781839313,0.669543732,0.381496614,0.402012839,0.804210962,0.696197518,0.850505599,0.739367555,0.780086474
0.786030244,0.659062803,0.402137899,0.412076346,0.790225954,0.683441385,0.852180458,0.77099248,0.758441451
0.822002254,0.661118002,0.390342837,0.430084822,0.808236967,0.68465243,0.834935882,0.729007956,0.732467509
0.829569296,0.637279038,0.359749468,0.405190699,0.77263881,0.66236989,0.793127022,0.706106861,0.719480668
0.809196772,0.626387176,0.345742795,0.419491548,0.786412032,0.643128184,0.771664388,0.743729661,0.734199198
0.781606437,0.665844595,0.36159241,0.443326348,0.823705056,0.685271502,0.824142469,0.73336968,0.725541275
0.75646105,0.669338183,0.343899854,0.433792449,0.816712552,0.695739906,0.837727254,0.75517999,0.729004219
0.823282824,0.663583991,0.359012277,0.434851771,0.822857633,0.70265615,0.844426596,0.736641491,0.709090884
0.811874257,0.648376469,0.356063438,0.427966124,0.845741757,0.698888656,0.824142469,0.748637186,0.695238069
0.797089579,0.646937937,0.368227169,0.438029843,0.835571009,0.687289855,0.831089898,0.750272901,0.694372354
0.7689173,0.645910337,0.376336164,0.4459746,0.817772079,0.705428104,0.850133432,0.708287941,0.661471832
0.759371411,0.654130662,0.385182534,0.430614377,0.781538286,0.70661221,0.819304065,0.677208327,0.661471832
0.777648382,0.64734887,0.377073392,0.384004364,0.762679828,0.705724088,0.808572752,0.674482317,0.626840054
0.695110602,0.633579901,0.365647,0.375529787,0.776876602,0.735407422,0.831586158,0.663031988,0.6320346
0.679743817,0.63892314,0.351271804,0.357521311,0.780902629,0.715385348,0.835183962,0.670665523,0.683116856
0.688707774,0.670982285,0.375230414,0.345868715,0.81289863,0.752280749,0.872774765,0.637949812,0.651948022
0.70104768,0.647554418,0.380022195,0.341631321,0.786623819,0.760085115,0.855964349,0.603053458,0.619913474
0.734807967,0.63789554,0.378179253,0.332627189,0.796371035,0.839850495,0.848086401,0.643402703,0.639826809
0.726426105,0.653925113,0.401032149,0.344809393,0.767553595,0.819882131,0.84858266,0.678844041,0.670995729
0.718859063,0.674270469,0.40582393,0.345868715,0.737888415,0.807045511,0.850567599,0.664122282,0.657142914
