AVGO,SYK,SWKS,SUI,SAP,QCOM,MHK,KB,ELS,ATVI,ANTM,AAPL
0.803362175,0.836369396,0.784887547,0.866644244,0.935141356,0.343899854,0.90732435,0.872340458,0.893170427,0.890378505,0.732902455,0.764144274
0.814899835,0.82569088,0.851355731,0.842794765,0.898305085,0.340951014,0.898687837,0.872340458,0.874856958,0.877497276,0.719301567,0.808148914
0.793747368,0.828046313,0.851521108,0.846153784,0.888587548,0.348322965,0.888141509,0.872340458,0.882106176,0.881703374,0.675605241,0.816414408
0.793561281,0.804491039,0.845403466,0.812562922,0.899886983,0.347217215,0.875269744,0.877175983,0.856924832,0.876971513,0.641844268,0.809546004
0.793871361,0.795069071,0.840112478,0.841115088,0.919774102,0.363435389,0.857083498,0.901353933,0.89507821,0.86645632,0.642519555,0.775902235
0.792072509,0.793027551,0.813326715,0.836748376,0.918192203,0.370070111,0.884072243,0.910057995,0.895459821,0.891955713,0.699527398,0.764377149
0.783512214,0.790672118,0.820436503,0.822304306,0.918418237,0.411352792,0.874273274,0.878787943,0.874093738,0.873816966,0.700974239,0.770779977
0.808634745,0.763662039,0.801917936,0.82633531,0.911412452,0.402137899,0.855754791,0.886202482,0.885539866,0.876182896,0.688916749,0.763212935
0.816636786,0.783134258,0.808366349,0.829022377,0.910508497,0.365647,0.871615842,0.86073501,0.874856958,0.869085079,0.709173391,0.762514472
0.821475184,0.831344161,0.812003931,0.80718825,0.880226079,0.351271804,0.871864962,0.859445487,0.844334141,0.923501478,0.733095413,0.756228175
0.831772244,0.820508704,0.793485364,0.807860235,0.879096068,0.346111317,0.866633489,0.855577047,0.852727923,0.91929538,0.730201586,0.757275858
0.804416688,0.783762524,0.784887547,0.786698059,0.861017085,0.331736122,0.873027684,0.835590006,0.843952798,0.907202873,0.735024583,0.735040668
0.807083973,0.747016359,0.773148147,0.7584816,0.879548136,0.333947733,0.832419815,0.839458414,0.806562373,0.928759128,0.733191825,0.74668211
0.802865915,0.745131781,0.767691765,0.740342501,0.870960475,0.32878743,0.807673007,0.839135977,0.802747112,0.927181788,0.712742369,0.738882367
0.790025477,0.721733683,0.761408746,0.734632122,0.850395593,0.327313011,0.794967494,0.831721438,0.790538031,0.956624557,0.700877837,0.742491179
0.77966633,0.693467308,0.750495982,0.727578074,0.831186576,0.32399565,0.799700985,0.808833011,0.761922997,0.931125058,0.69991318,0.732712415
0.764158606,0.705244944,0.756448363,0.701377235,0.812655503,0.316623699,0.773874705,0.791747292,0.767646042,0.91929538,0.667792007,0.74377175
0.770175609,0.706972347,0.719245984,0.737319458,0.811299458,0.301142754,0.780102905,0.801096132,0.807706937,0.884332133,0.646860223,0.731082613
0.783015955,0.692210995,0.723214205,0.754786605,0.834576271,0.319203869,0.774372944,0.808188233,0.816482328,0.894321643,0.620044374,0.700931324
